11210,"347  ","3470018","サイタマケン","カゾシ","ハマチョウ","埼玉県","加須市","浜町",0,0,0,0,0,0
11210,"34701","3470102","サイタマケン","カゾシ","ヒデヤス","埼玉県","加須市","日出安",0,0,0,0,0,0
11210,"347  ","3470046","サイタマケン","カゾシ","ヒラナガ","埼玉県","加須市","平永",0,0,0,0,0,0
11210,"347  ","3470045","サイタマケン","カゾシ","フジミチョウ","埼玉県","加須市","富士見町",0,0,0,0,0,0
11210,"347  ","3470054","サイタマケン","カゾシ","フドウオカ","埼玉県","加須市","不動岡",0,0,0,0,0,0
11210,"347  ","3470021","サイタマケン","カゾシ","フナコシ","埼玉県","加須市","船越",0,0,0,0,0,0
11210,"347  ","3470004","サイタマケン","カゾシ","フルカワ","埼玉県","加須市","古川",0,0,1,0,0,0
11210,"34911","3491156","サイタマケン","カゾシ","ホソマ","埼玉県","加須市","細間",0,0,0,0,0,0
11210,"34912","3491216","サイタマケン","カゾシ","ホンゴウ","埼玉県","加須市","本郷",0,0,0,0,0,0
11210,"347  ","3470066","サイタマケン","カゾシ","ホンチョウ","埼玉県","加須市","本町",0,0,0,0,0,0
11210,"34911","3491145","サイタマケン","カゾシ","マクチ","埼玉県","加須市","間口",0,0,0,0,0,0
11210,"347  ","3470052","サイタマケン","カゾシ","マチヤシンデン","埼玉県","加須市","町屋新田",0,0,0,0,0,0
11210,"34911","3491141","サイタマケン","カゾシ","マツナガシンデン","埼玉県","加須市","松永新田",0,0,0,0,0,0
11210,"347  ","3470022","サイタマケン","カゾシ","ミズブカ","埼玉県","加須市","水深",0,0,0,0,0,0
11210,"347  ","3470015","サイタマケン","カゾシ","ミナミオオクワ","埼玉県","加須市","南大桑",0,0,0,0,0,0
11210,"347  ","3470028","サイタマケン","カゾシ","ミナミオバマ","埼玉県","加須市","南小浜",0,0,0,0,0,0
11210,"347  ","3470017","サイタマケン","カゾシ","ミナミシノザキ","埼玉県","加須市","南篠崎",0,0,0,0,0,0
11210,"347  ","3470031","サイタマケン","カゾシ","ミナミチョウ","埼玉県","加須市","南町",0,0,0,0,0,0
11210,"34912","3491205","サイタマケン","カゾシ","ムカイコガ","埼玉県","加須市","向古河",0,0,0,0,0,0
11210,"34912","3491212","サイタマケン","カゾシ","ムギクラ","埼玉県","加須市","麦倉",0,0,0,0,0,0
11210,"347  ","3470067","サイタマケン","カゾシ","ムコウガシチョウ","埼玉県","加須市","向川岸町",0,0,0,0,0,0
11210,"347  ","3470062","サイタマケン","カゾシ","ムツミチョウ","埼玉県","加須市","睦町",0,0,1,0,0,0
